┌─────────────┬──────────┬──────────┬────────────────────────┬───────────┐
│ encoding_id │ piece_id │  format  │       file_path        │ available │
│ 133         │ 34       │ abc      │ data/abc/12-1.abc      │ 1         │
│ 136         │ 34       │ humdrum  │ data/humdrum/12-1.krn  │ 1         │
│ 134         │ 34       │ mei      │ data/mei/12-1.mei      │ 1         │
│ 135         │ 34       │ musicxml │ data/musicxml/12-1.xml │ 1         │
│ 137         │ 35       │ abc      │ data/abc/12-2.abc      │ 1         │
│ 140         │ 35       │ humdrum  │ data/humdrum/12-2.krn  │ 1         │
│ 138         │ 35       │ mei      │ data/mei/12-2.mei      │ 1         │
│ 139         │ 35       │ musicxml │ data/musicxml/12-2.xml │ 1         │
│ 141         │ 36       │ abc      │ data/abc/12-3.abc      │ 1         │
│ 144         │ 36       │ humdrum  │ data/humdrum/12-3.krn  │ 1         │
│ 142         │ 36       │ mei      │ data/mei/12-3.mei      │ 1         │
│ 143         │ 36       │ musicxml │ data/musicxml/12-3.xml │ 1         │
│ 145         │ 37       │ abc      │ data/abc/13-1.abc      │ 1         │
│ 148         │ 37       │ humdrum  │ data/humdrum/13-1.krn  │ 1         │
│ 146         │ 37       │ mei      │ data/mei/13-1.mei      │ 1         │
│ 147         │ 37       │ musicxml │ data/musicxml/13-1.xml │ 1         │
│ 149         │ 38       │ abc      │ data/abc/13-2.abc      │ 1         │
│ 152         │ 38       │ humdrum  │ data/humdrum/13-2.krn  │ 1         │
│ 150         │ 38       │ mei      │ data/mei/13-2.mei      │ 1         │
│ 151         │ 38       │ musicxml │ data/musicxml/13-2.xml │ 1         │
│ 153         │ 39       │ abc      │ data/abc/13-3.abc      │ 1         │
│ 156         │ 39       │ humdrum  │ data/humdrum/13-3.krn  │ 1         │
│ 154         │ 39       │ mei      │ data/mei/13-3.mei      │ 1         │
│ 155         │ 39       │ musicxml │ data/musicxml/13-3.xml │ 1         │
│ 157         │ 40       │ abc      │ data/abc/14-1.abc      │ 1         │
│ 160         │ 40       │ humdrum  │ data/humdrum/14-1.krn  │ 1         │
│ 158         │ 40       │ mei      │ data/mei/14-1.mei      │ 1         │
│ 159         │ 40       │ musicxml │ data/musicxml/14-1.xml │ 1         │
│ 161         │ 41       │ abc      │ data/abc/14-2.abc      │ 1         │
│ 164         │ 41       │ humdrum  │ data/humdrum/14-2.krn  │ 1         │
│ 162         │ 41       │ mei      │ data/mei/14-2.mei      │ 1         │
│ 163         │ 41       │ musicxml │ data/musicxml/14-2.xml │ 1         │
│ 165         │ 42       │ abc      │ data/abc/14-3.abc      │ 1         │
│ 168         │ 42       │ humdrum  │ data/humdrum/14-3.krn  │ 1         │
│ 166         │ 42       │ mei      │ data/mei/14-3.mei      │ 1         │
│ 167         │ 42       │ musicxml │ data/musicxml/14-3.xml │ 1         │
│ 169         │ 43       │ abc      │ data/abc/16-1.abc      │ 1         │
│ 172         │ 43       │ humdrum  │ data/humdrum/16-1.krn  │ 1         │
│ 170         │ 43       │ mei      │ data/mei/16-1.mei      │ 1         │
│ 171         │ 43       │ musicxml │ data/musicxml/16-1.xml │ 1         │
│ 173         │ 44       │ abc      │ data/abc/16-2.abc      │ 1         │
│ 176         │ 44       │ humdrum  │ data/humdrum/16-2.krn  │ 1         │
│ 174         │ 44       │ mei      │ data/mei/16-2.mei      │ 1         │
│ 175         │ 44       │ musicxml │ data/musicxml/16-2.xml │ 1         │
│ 177         │ 45       │ abc      │ data/abc/16-3.abc      │ 1         │
│ 180         │ 45       │ humdrum  │ data/humdrum/16-3.krn  │ 1         │
│ 178         │ 45       │ mei      │ data/mei/16-3.mei      │ 1         │
│ 179         │ 45       │ musicxml │ data/musicxml/16-3.xml │ 1         │
│ 181         │ 46       │ abc      │ data/abc/18-1.abc      │ 1         │
│ 184         │ 46       │ humdrum  │ data/humdrum/18-1.krn  │ 1         │
│ 182         │ 46       │ mei      │ data/mei/18-1.mei      │ 1         │
│ 183         │ 46       │ musicxml │ data/musicxml/18-1.xml │ 1         │
│ 185         │ 47       │ abc      │ data/abc/18-2.abc      │ 1         │
│ 188         │ 47       │ humdrum  │ data/humdrum/18-2.krn  │ 1         │
│ 186         │ 47       │ mei      │ data/mei/18-2.mei      │ 1         │
│ 187         │ 47       │ musicxml │ data/musicxml/18-2.xml │ 1         │
│ 189         │ 48       │ abc      │ data/abc/18-3.abc      │ 1         │
│ 192         │ 48       │ humdrum  │ data/humdrum/18-3.krn  │ 1         │
│ 190         │ 48       │ mei      │ data/mei/18-3.mei      │ 1         │
│ 191         │ 48       │ musicxml │ data/musicxml/18-3.xml │ 1         │
└─────────────┴──────────┴──────────┴────────────────────────┴───────────┘
